Tipo,Valor
InteresCreditoPersonal,13.241785382528082
InteresCreditoPersonal,11.654339247072038
InteresCreditoPersonal,13.61922134525173
InteresCreditoPersonal,15.807574641020064
InteresCreditoPersonal,11.414616563191661
InteresCreditoPersonal,11.41465760762705
InteresCreditoPersonal,15.948032038768478
InteresCreditoPersonal,13.918586822882272
InteresCreditoPersonal,10.82631403516262
InteresCreditoPersonal,13.356400108964912
InteresCreditoPersonal,10.841455767968844
InteresCreditoPersonal,10.835675616074358
InteresCreditoPersonal,12.604905678915085
InteresCreditoPersonal,7.216799388355505
InteresCreditoPersonal,7.687705418717418
InteresCreditoPersonal,10.594281176897567
InteresCreditoPersonal,9.46792219916394
InteresCreditoPersonal,12.785618331488184
InteresCreditoPersonal,9.729939811196973
InteresCreditoPersonal,8.469240746661772
InteresCreditoPersonal,15.664121922303885
InteresCreditoPersonal,11.435559248783662
InteresCreditoPersonal,12.16882051171981
InteresCreditoPersonal,8.43812953446636
InteresCreditoPersonal,10.639043188687044
InteresCreditoPersonal,12.277306474274665
InteresCreditoPersonal,9.122516056444244
InteresCreditoPersonal,12.93924504586418
InteresCreditoPersonal,10.498403275202987
InteresCreditoPersonal,11.270765625516809
InteresCreditoPersonal,10.495733469426508
InteresCreditoPersonal,16.630695461272346
InteresCreditoPersonal,11.966256938155166
InteresCreditoPersonal,9.355722677610249
InteresCreditoPersonal,14.056362280257972
InteresCreditoPersonal,8.947890875072444
InteresCreditoPersonal,12.522158987511888
InteresCreditoPersonal,7.100824690300561
InteresCreditoPersonal,8.679534877753923
InteresCreditoPersonal,12.492153089672808
InteresCreditoPersonal,13.846166449988527
InteresCreditoPersonal,12.428420702974925
InteresCreditoPersonal,11.710879294029398
InteresCreditoPersonal,11.247240761026777
InteresCreditoPersonal,8.303695024081431
InteresCreditoPersonal,10.200389479013229
InteresCreditoPersonal,10.848403072600531
InteresCreditoPersonal,14.642805565547288
InteresCreditoPersonal,12.859045723921154
InteresCreditoPersonal,7.592399611593165
InteresCreditoPersonal,12.810209923486987
InteresCreditoPersonal,11.037294298959209
InteresCreditoPersonal,10.307694999235103
InteresCreditoPersonal,13.52919072210217
InteresCreditoPersonal,14.577498806239877
InteresCreditoPersonal,14.328200297790497
InteresCreditoPersonal,9.901956191943404
InteresCreditoPersonal,11.226969060371964
InteresCreditoPersonal,12.82815857850891
InteresCreditoPersonal,14.438862817805898
InteresCreditoPersonal,10.802064405386774
InteresCreditoPersonal,11.535852558340457
InteresCreditoPersonal,9.23416256498493
InteresCreditoPersonal,9.009483439798323
InteresCreditoPersonal,14.031314555985496
InteresCreditoPersonal,15.390600071427057
InteresCreditoPersonal,11.819974696049165
InteresCreditoPersonal,14.50883224473006
InteresCreditoPersonal,12.904090062619085
InteresCreditoPersonal,10.38720061348719
InteresCreditoPersonal,12.903489013771035
InteresCreditoPersonal,15.845091416164923
InteresCreditoPersonal,11.910434902225122
InteresCreditoPersonal,15.911609139535015
InteresCreditoPersonal,5.450637239775639
InteresCreditoPersonal,14.05475626093806
InteresCreditoPersonal,12.217617670595429
InteresCreditoPersonal,11.252481623835331
InteresCreditoPersonal,12.229401941338756
InteresCreditoPersonal,7.031077713497768
InteresCreditoPersonal,11.45082028040622
InteresCreditoPersonal,12.892781428779365
InteresCreditoPersonal,15.69473511185379
InteresCreditoPersonal,10.70432445431588
InteresCreditoPersonal,9.97876599276703
InteresCreditoPersonal,10.745607391038659
InteresCreditoPersonal,14.288505294255184
